side,row,col,board_no,socket,label,shift
front,13,19,88,38,088-38,0
front,11,21,88,39,088-39,0
front,10,21,88,40,088-40,0.5
front,10,20,88,41,088-41,0.5
front,9,21,88,44,088-44,0.5
front,9,19,88,45,088-45,0.5
front,8,21,88,47,088-47,0
front,8,20,88,48,088-48,0
front,7,21,88,49,088-49,0.5
front,7,20,88,50,088-50,0.5
front,6,21,88,51,088-51,0
front,5,21,88,52,088-52,0.5
front,5,20,88,53,088-53,0.5
front,4,21,88,54,088-54,0
front,4,20,88,55,088-55,0
front,3,20,88,56,088-56,0.5
front,2,21,88,57,088-57,0.5
front,2,19,88,58,088-58,0.5
front,1,20,88,59,088-59,0
front,0,20,88,60,088-60,0.5
front,0,22,89,1,089-01,0.5
front,3,22,89,2,089-02,0.5
front,1,23,89,3,089-03,0
front,2,23,89,4,089-04,0.5
front,0,25,89,5,089-05,0.5
front,0,26,89,6,089-06,0.5
front,2,24,89,7,089-07,0.5
front,3,23,89,8,089-08,0.5
front,4,23,89,9,089-09,0
front,4,24,89,10,089-10,0
front,4,25,89,11,089-11,0
front,5,22,89,12,089-12,0.5
front,6,23,89,13,089-13,0
front,7,23,89,14,089-14,0.5
front,7,22,89,15,089-15,0.5
front,8,23,89,16,089-16,0
front,8,22,89,17,089-17,0
front,9,22,89,19,089-19,0.5
front,10,22,89,22,089-22,0.5
front,12,23,89,24,089-24,0.5
front,13,23,89,25,089-25,0
front,15,23,89,26,089-26,0
front,14,22,89,27,089-27,0.5
front,15,22,89,28,089-28,0
front,13,22,89,29,089-29,0
front,16,22,89,30,089-30,0
front,12,21,89,31,089-31,0.5
front,13,21,89,32,089-32,0
front,17,20,89,33,089-33,0.5
front,14,20,89,34,089-34,0.5
front,17,19,89,35,089-35,0.5
front,15,20,89,36,089-36,0
front,13,20,89,37,089-37,0
front,12,19,89,38,089-38,0.5
front,11,20,89,39,089-39,0
front,10,19,89,41,089-41,0.5
front,9,20,89,44,089-44,0.5
front,8,19,89,48,089-48,0
front,7,19,89,50,089-50,0.5
front,6,19,89,51,089-51,0
front,6,20,89,52,089-52,0
front,4,22,89,53,089-53,0
front,5,19,89,54,089-54,0.5
front,3,21,89,55,089-55,0.5
front,3,19,89,56,089-56,0.5
front,2,20,89,57,089-57,0.5
front,1,21,89,58,089-58,0
front,0,21,89,59,089-59,0.5
front,0,19,89,60,089-60,0.5
front,0,15,90,1,090-01,0.5
front,2,16,90,2,090-02,0.5
front,0,16,90,3,090-03,0.5
front,0,17,90,4,090-04,0.5
front,1,19,90,5,090-05,0
front,2,18,90,6,090-06,0.5
front,3,17,90,7,090-07,0.5
front,4,18,90,8,090-08,0
front,4,17,90,9,090-09,0
front,5,17,90,10,090-10,0.5
front,4,16,90,11,090-11,0
front,5,16,90,12,090-12,0.5
front,7,18,90,13,090-13,0.5
front,7,16,90,14,090-14,0.5
front,8,18,90,15,090-15,0
front,9,18,90,18,090-18,0.5
front,9,16,90,19,090-19,0.5
front,10,18,90,20,090-20,0.5
front,10,16,90,21,090-21,0.5
front,11,19,90,22,090-22,0
front,12,18,90,23,090-23,0.5
