side,row,col,board_no,socket,label,shift
back,2,9,13,3,013-03,0.5
back,0,7,13,4,013-04,0.5
back,0,5,13,5,013-05,0.5
back,1,7,13,6,013-06,0
back,0,3,13,7,013-07,0.5
back,1,6,13,8,013-08,0
back,1,5,13,9,013-09,0
back,1,4,13,10,013-10,0
back,2,6,13,11,013-11,0.5
back,4,9,13,12,013-12,0
back,4,10,13,13,013-13,0
back,5,9,13,14,013-14,0.5
back,3,5,13,15,013-15,0.5
back,4,7,13,16,013-16,0
back,5,8,13,17,013-17,0.5
back,4,5,13,18,013-18,0
back,5,7,13,19,013-19,0.5
back,6,8,13,20,013-20,0.5
back,5,5,13,21,013-21,0.5
back,7,9,13,22,013-22,0
back,6,5,13,23,013-23,0.5
back,7,7,13,24,013-24,0
back,8,7,13,25,013-25,0.5
back,9,8,13,26,013-26,0.5
back,8,9,13,27,013-27,0.5
back,8,10,13,28,013-28,0.5
back,6,10,13,29,013-29,0.5
back,8,11,13,30,013-30,0.5
back,10,12,13,31,013-31,0
back,8,12,13,32,013-32,0.5
back,10,13,13,33,013-33,0
back,9,13,13,35,013-35,0.5
back,9,14,13,36,013-36,0.5
back,8,15,13,37,013-37,0.5
back,7,16,13,38,013-38,0
back,7,15,13,39,013-39,0
back,7,14,13,40,013-40,0
back,7,13,13,41,013-41,0
back,6,11,13,42,013-42,0.5
back,6,13,13,43,013-43,0.5
back,5,14,13,44,013-44,0.5
back,5,11,13,45,013-45,0.5
back,5,13,13,46,013-46,0.5
back,4,14,13,47,013-47,0
back,5,12,13,48,013-48,0.5
back,2,15,13,49,013-49,0.5
back,4,12,13,50,013-50,0
back,3,10,13,51,013-51,0.5
back,2,14,13,52,013-52,0.5
back,1,15,13,53,013-53,0
back,3,12,13,54,013-54,0.5
back,1,14,13,55,013-55,0
back,2,12,13,56,013-56,0.5
back,0,14,13,57,013-57,0.5
back,0,13,13,58,013-58,0.5
back,0,10,13,59,013-59,0.5
back,0,11,13,60,013-60,0.5
back,1,10,14,1,014-01,0
back,0,9,14,2,014-02,0.5
back,0,8,14,3,014-03,0.5
back,1,8,14,4,014-04,0
back,0,6,14,5,014-05,0.5
back,0,4,14,6,014-06,0.5
back,2,8,14,7,014-07,0.5
back,2,7,14,8,014-08,0.5
back,3,9,14,9,014-09,0.5
back,3,8,14,10,014-10,0.5
back,3,7,14,11,014-11,0.5
back,2,5,14,12,014-12,0.5
back,2,4,14,13,014-13,0.5
back,3,6,14,14,014-14,0.5
back,4,8,14,15,014-15,0
back,3,4,14,16,014-16,0.5
back,6,9,14,17,014-17,0.5
back,4,6,14,18,014-18,0
back,7,10,14,19,014-19,0
back,5,6,14,20,014-20,0.5
back,6,7,14,21,014-21,0.5
back,6,6,14,22,014-22,0.5
back,7,8,14,23,014-23,0
back,7,6,14,24,014-24,0
back,8,6,14,25,014-25,0.5
back,8,8,14,26,014-26,0.5
back,9,9,14,27,014-27,0.5
back,9,10,14,28,014-28,0.5
back,9,11,14,29,014-29,0.5
back,7,11,14,30,014-30,0
back,9,12,14,32,014-32,0.5
back,10,14,14,35,014-35,0
back,9,15,14,36,014-36,0.5
back,8,14,14,37,014-37,0.5
back,8,13,14,38,014-38,0.5
back,6,15,14,39,014-39,0.5
back,7,12,14,40,014-40,0
back,6,14,14,41,014-41,0.5
back,5,15,14,42,014-42,0.5
back,4,16,14,43,014-43,0
back,6,12,14,44,014-44,0.5
back,5,10,14,45,014-45,0.5
back,4,15,14,46,014-46,0
back,3,15,14,47,014-47,0.5
back,4,11,14,48,014-48,0
back,3,14,14,49,014-49,0.5
back,4,13,14,50,014-50,0
back,3,13,14,51,014-51,0.5
back,1,16,14,52,014-52,0
back,3,11,14,53,014-53,0.5
back,2,13,14,54,014-54,0.5
back,0,15,14,55,014-55,0.5
back,2,11,14,56,014-56,0.5
back,1,13,14,57,014-57,0
back,1,11,14,58,014-58,0
back,1,12,14,59,014-59,0
back,0,12,14,60,014-60,0.5
back,2,21,15,1,015-01,0.5
back,0,22,15,2,015-02,0.5
back,0,21,15,3,015-03,0.5
back,1,20,15,4,015-04,0
back,0,19,15,5,015-05,0.5
back,0,17,15,6,015-06,0.5
back,2,19,15,7,015-07,0.5
back,1,18,15,8,015-08,0
back,2,18,15,9,015-09,0.5
back,3,20,15,10,015-10,0.5
back,2,17,15,11,015-11,0.5
back,4,19,15,12,015-12,0
back,4,20,15,13,015-13,0
back,3,17,15,14,015-14,0.5
back,4,18,15,15,015-15,0
